Degree Name,Entry scores,Prerequisite,Assumed knowledge,Mode,Campus,Study as,Duration,Start date,Degree URL
Bachelor of Accounting,,None,None,100% Online,,Full time or part time,3 year(s) full-time,"January, April, June, September",https://adelaideuni.edu.au/study/degrees/online/bachelor-of-accounting/dom/
Bachelor of Business,Guaranteed entry score (ATAR-based):70,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-business/dom/
"Bachelor of Business (Economics, Finance and Trade)",,None,None,100% Online,,Full time or part time,3 year(s) full-time,"January, April, June, September",https://adelaideuni.edu.au/study/degrees/online/bachelor-of-business-economics-finance-and-trade/dom/
Bachelor of Business (Financial Planning),,None,None,100% Online,,Full time or part time,3 year(s) full-time,"January, April, June, September",https://adelaideuni.edu.au/study/degrees/online/bachelor-of-business-financial-planning/dom/
Bachelor of Business (Management),,None,None,100% Online,,Full time or part time,3 year(s) full-time,"January, April, June, September",https://adelaideuni.edu.au/study/degrees/online/bachelor-of-business-management/dom/
Bachelor of Business majoring in Digital Business,Guaranteed entry score (ATAR-based):70,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-business-digital-business/dom/
Bachelor of Business majoring in Human Resource Management,,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-business-human-resource-management/dom/
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Guaranteed entry score (ATAR-based):70,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-business-innovation-entrepreneurship-and-strategy/dom/
Bachelor of Business majoring in International Business,Guaranteed entry score (ATAR-based):70,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-business-international-business/dom/
Bachelor of Business majoring in Management,Guaranteed entry score (ATAR-based):70,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-business-management/dom/
Bachelor of Business majoring in Procurement and Supply Chain Management,Guaranteed entry score (ATAR-based):70,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-business-procurement-and-supply-chain-management/dom/
Bachelor of Business majoring in Project Management,Guaranteed entry score (ATAR-based):70,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-business-project-management/dom/
Bachelor of Commerce majoring in Accounting,Guaranteed entry score (ATAR-based):80,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-commerce-accounting/dom/
Bachelor of Commerce majoring in Banking and Finance,Guaranteed entry score (ATAR-based):80,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-commerce-banking-and-finance/dom/
Bachelor of Commerce majoring in Business Analytics,Guaranteed entry score (ATAR-based):80,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-commerce-business-analytics/dom/
Bachelor of Commerce majoring in Financial Planning,Guaranteed entry score (ATAR-based):80,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-commerce-financial-planning/dom/
Bachelor of Commerce majoring in Property,Guaranteed entry score (ATAR-based):80,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-commerce-property/dom/
Bachelor of Digital Business,,None,None,100% Online,,Full time or part time,3 year(s) full-time,"January, April, June, September",https://adelaideuni.edu.au/study/degrees/online/bachelor-of-digital-business/dom/
Bachelor of Economics,Guaranteed entry score (ATAR-based):70,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-economics/dom/
Bachelor of Economics (Honours),Guaranteed entry score (ATAR-based):80,None,None,On Campus,Adelaide City,Full time or part time,4 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-economics-honours/dom/
Bachelor of Economics majoring in Advanced Analysis,Guaranteed entry score (ATAR-based):70,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-economics-advanced-analysis/dom/
Bachelor of International Business,,None,None,100% Online,,Full time or part time,3 year(s) full-time,"January, March, May, July, August, October",https://adelaideuni.edu.au/study/degrees/online/bachelor-of-international-business/dom/
"Bachelor of Philosophy, Politics and Economics",Guaranteed entry score (ATAR-based):70,None,None,On Campus,Adelaide City,Full time or part time,3 year(s) full-time,"February, July",https://adelaideuni.edu.au/study/degrees/bachelor-of-philosophy-politics-and-economics/dom/
